Date,Ticker,Nom,Prix Achat (€),Target (€),Potentiel %,Prix Actuel (€),Perf %,Stop-Loss (€),Statut,Jours
23/04/2026,DG.PA,VINCI,130.75,145.0,10.9%,128.6,-1.64%,122.0,En cours,5
23/04/2026,PUB.PA,PUBLICIS,78.48,87.0,10.86%,79.0,+0.66%,70.0,En cours,5
23/04/2026,CAP.PA,CAPGEMINI,106.75,118.0,10.54%,99.68,-6.62%,96.0,En cours,5
23/04/2026,BNP.PA,BNP PARIBAS,90.31,100.0,10.73%,90.1,-0.23%,81.5,En cours,5
24/04/2026,CAP.PA,CAPGEMINI,100.65,112.0,11.28%,99.68,-0.96%,92.0,En cours,4
24/04/2026,PUB.PA,PUBLICIS,77.88,86.0,10.43%,79.0,+1.44%,73.0,En cours,4
24/04/2026,BNP.PA,BNP PARIBAS,90.31,100.0,10.73%,90.1,-0.23%,81.0,En cours,4
25/04/2026,CAP.PA,CAPGEMINI,99.1,109.0,9.99%,99.68,+0.59%,90.0,En cours,3
25/04/2026,VIE.PA,VEOLIA ENVIRONNEMENT,35.56,39.5,11.08%,35.82,+0.73%,32.5,En cours,3
25/04/2026,PUB.PA,PUBLICIS GROUPE,78.02,86.0,10.23%,79.0,+1.26%,70.0,En cours,3
26/04/2026,CAP.PA,CAPGEMINI,99.1,109.5,10.49%,99.68,+0.59%,90.0,En cours,2
26/04/2026,PUB.PA,PUBLICIS,78.02,86.0,10.23%,79.0,+1.26%,69.0,En cours,2
26/04/2026,MC.PA,LVMH,471.65,520.0,10.25%,459.2,-2.64%,445.0,En cours,2
27/04/2026,CAP.PA,CAPGEMINI,99.1,109.0,9.99%,99.68,+0.59%,90.0,En cours,1
27/04/2026,VIE.PA,VEOLIA ENVIRONNEMENT,35.56,39.5,11.08%,35.82,+0.73%,32.5,En cours,1
27/04/2026,PUB.PA,PUBLICIS GROUPE,78.02,86.0,10.23%,79.0,+1.26%,69.0,En cours,1
28/04/2026,MC.PA,LVMH,459.95,510.0,10.88%,459.2,-0.16%,432.0,En cours,0
28/04/2026,VIE.PA,VEOLIA ENVIRONNEMENT,35.55,39.5,11.11%,35.82,+0.76%,32.5,En cours,0
28/04/2026,PUB.PA,PUBLICIS GROUPE,78.78,88.0,11.7%,79.0,+0.28%,69.0,En cours,0
28/04/2026,BNP.PA,BNP PARIBAS,90.1,100.0,10.99%,90.1,0.00%,81.5,En cours,0
28/04/2026,DSY.PA,DASSAULT SYSTÈMES,18.91,21.0,11.05%,18.91,0.00%,16.8,En cours,0
